,exchange_token,trading_symbol,company_name,close_price,expiry,strike,tick_size,lot_size,instrument_name,option_type,segment,exchange,fin_instrm_pdct_tp_cd,asset_code
0,14757,WINSOME-BZ,WINSOME YARNS LIMITED,1.86,,0.0,0.01,1,BZ,,BZ,NSE,,
1,30210,SCL19325A-N1,SCL SR III,0.0,,0.0,0.01,1,N1,,N1,NSE,,
2,8208,RICHA-SM,RICHA INFO SYSTEMS LTD,62.8,,0.0,0.05,1000,SM,,SM,NSE,,
3,10981,74GS2062-GS,GOI LOAN  7.4% 2062,102.51,,0.0,0.01,1,GS,,GS,NSE,,
4,13778,762UP35-SG,SDL UP 7.62% 2035,0.0,,0.0,0.01,100,SG,,SG,NSE,,
5,24319,10IIFL26-N0,IIFL SAMASTA 10% 2026,0.0,,0.0,0.01,1,N0,,N0,NSE,,
6,30180,717UK32-SG,SDL UK 7.17% 2032,0.0,,0.0,0.01,100,SG,,SG,NSE,,
7,1412,AGI-EQ,AGI GREENPAC LIMITED,870.8,,0.0,0.05,1,EQ,,EQ,NSE,,
8,7254,MEDPLUS-EQ,MEDPLUS HEALTH SERV LTD,759.95,,0.0,0.05,1,EQ,,EQ,NSE,,
9,25560,925SCL29C-N1,SEC RE NCD 9.25% SR VIII,0.0,,0.0,0.01,1,N1,,N1,NSE,,
10,22098,728UP29-SG,SDL UP 7.28% 2029,0.0,,0.0,0.01,100,SG,,SG,NSE,,
11,759939,743PHFL28-N0,PHFL 7.43% 2028 SR LXXI,0.0,,0.0,0.01,1,N0,,N0,NSE,,
12,761,662JH30-SG,SDL JH 6.62% 2030,0.0,,0.0,0.01,100,SG,,SG,NSE,,
13,23181,MOSMALL250-EQ,MOTILALAMC - MOSMALL250,17.19,,0.0,0.01,1,EQ,,EQ,NSE,,
14,21767,83645TFS27-N1,TFSIL 8.3645% 2027 SRS43,0.0,,0.0,0.01,1,N1,,N1,NSE,,
15,24466,812ABHF29-N0,ABHFL  8.1168% 2029 SR 2,0.0,,0.0,0.01,1,N0,,N0,NSE,,
16,11603,781UP34-SG,SDL UP 7.81% 2034,0.0,,0.0,0.01,100,SG,,SG,NSE,,
17,22293,65RJ50-SG,SDL RJ 6.5% 2050,0.0,,0.0,0.01,100,SG,,SG,NSE,,
18,30008,722KA35A-SG,SDL KA 7.22% 2035,0.0,,0.0,0.01,100,SG,,SG,NSE,,
19,4870,INDSWFTLAB-EQ,IND SWIFT LABORATORIES LT,104.61,,0.0,0.01,1,EQ,,EQ,NSE,,
20,13900,CREST-EQ,CREST VENTURES LIMITED,351.15,,0.0,0.05,1,EQ,,EQ,NSE,,
21,22962,925BCIL28-N0,BCIPL 9.25% 2028 SR A,0.0,,0.0,0.01,1,N0,,N0,NSE,,
22,981,EPL-EQ,EPL LIMITED,209.17,,0.0,0.01,1,EQ,,EQ,NSE,,
23,2733,643AS26-SG,SDL AS 6.43% 2026,0.0,,0.0,0.01,100,SG,,SG,NSE,,
24,8354,725GJ32-SG,SDL GJ 7.25% 2032,0.0,,0.0,0.01,100,SG,,SG,NSE,,
25,756038,WAAREERTL-EQ,WAAREE RENEWABLE TECH LTD,1309.6,,0.0,0.1,1,EQ,,EQ,NSE,,
26,25550,902SCL27C-N1,SEC RE NCD 9.02% SR V,0.0,,0.0,0.01,1,N1,,N1,NSE,,
27,12124,DOLATALGO-EQ,DOLAT ALGOTECH LIMITED,81.02,,0.0,0.01,1,EQ,,EQ,NSE,,
28,30175,689TN28-SG,SDL TN 6.89% 2028,0.0,,0.0,0.01,100,SG,,SG,NSE,,
29,22014,657MZ35-SG,SDL MZ 6.57% 2035,0.0,,0.0,0.01,100,SG,,SG,NSE,,
30,19728,774RJ39-SG,SDL RJ 7.74% 2039,0.0,,0.0,0.01,100,SG,,SG,NSE,,
31,16646,734RJ33A-SG,SDL RJ 7.34% 2033,0.0,,0.0,0.01,100,SG,,SG,NSE,,
32,18558,JIWANRAM-SM,JIWANRAM SHEODUTTRA IND L,7.0,,0.0,0.05,6000,SM,,SM,NSE,,
33,24019,TBI-SM,TBI CORN LIMITED,89.0,,0.0,0.05,600,SM,,SM,NSE,,
34,8828,GAEL-EQ,GUJARAT AMBUJA EXPORTS LT,106.87,,0.0,0.01,1,EQ,,EQ,NSE,,
35,1425,662AS30-SG,SDL AS 6.62% 2030,0.0,,0.0,0.01,100,SG,,SG,NSE,,
36,18179,FICRF3GP-MF,FRANTEMAMC - FICRF3GP,86.8,,0.0,0.01,1,MF,,MF,NSE,,
37,14522,739NHAI31A-ND,TAX FREE 7.39% SR. IIA,0.0,,0.0,0.01,1,ND,,ND,NSE,,
38,22120,715TN27-SG,SDL TN 7.15% 2027,0.0,,0.0,0.01,100,SG,,SG,NSE,,
39,14839,779HP38-SG,SDL HP 7.79% 2038,0.0,,0.0,0.01,100,SG,,SG,NSE,,
40,24695,818TFSIL27-N0,TFSIL 8.1841% 27 SR S48,0.0,,0.0,0.01,1,N0,,N0,NSE,,
41,11829,SSWL-EQ,STEEL STRIPS WHEELS LTD.,215.71,,0.0,0.01,1,EQ,,EQ,NSE,,
42,17329,734TS46-SG,SDL TS 7.34% 2046,0.0,,0.0,0.01,100,SG,,SG,NSE,,
43,9847,NV20BEES-EQ,NIP IND ETF ETF NV20,150.62,,0.0,0.01,1,EQ,,EQ,NSE,,
44,25106,719TN32A-SG,SDL TN 7.19% 2032,0.0,,0.0,0.01,100,SG,,SG,NSE,,
45,12490,VINNY-EQ,VINNY OVERSEAS LIMITED,1.24,,0.0,0.01,1,EQ,,EQ,NSE,,
46,3425,76IGT26-ND,SEC RE NCD 7.60% SR.II,0.0,,0.0,0.01,1,ND,,ND,NSE,,
47,3484,TIL-EQ,TIL LTD,309.0,,0.0,0.05,1,EQ,,EQ,NSE,,
48,757833,715RJ53-SG,SDL RJ 7.15% 2053,0.0,,0.0,0.01,100,SG,,SG,NSE,,
49,25318,724INBK34-N0,INBK 7.24% 2034 SR I,0.0,,0.0,0.01,1,N0,,N0,NSE,,
50,29124,PCJEWELLER-EQ,PC JEWELLER LTD,12.2,,0.0,0.01,1,EQ,,EQ,NSE,,
51,18143,JIOFIN-EQ,JIO FIN SERVICES LTD,312.1,,0.0,0.05,1,EQ,,EQ,NSE,,
52,3520,684MH32-SG,SDL MH 6.84% 2032,0.0,,0.0,0.01,100,SG,,SG,NSE,,
53,13548,HDFC1204RG-MF,HDFCAMC - HDFC1204RG,0.0,,0.0,0.01,1,MF,,MF,NSE,,
54,27210,364D271125-TB,GOI TBILL 364D-27/11/25,0.0,,0.0,0.01,100,TB,,TB,NSE,,
55,20916,722GA29-SG,SDL GA 7.22% 2029,0.0,,0.0,0.01,100,SG,,SG,NSE,,
56,29700,716PY40A-SG,SDL PY 7.16% 2040,0.0,,0.0,0.01,100,SG,,SG,NSE,,
57,15283,KNRCON-EQ,KNR CONSTRU LTD.,185.93,,0.0,0.01,1,EQ,,EQ,NSE,,
58,21165,778PN37-SG,SDL PN 7.78% 2037,0.0,,0.0,0.01,100,SG,,SG,NSE,,
59,21406,AVADHSUGAR-EQ,AVADH SUG & ENERGY LTD,423.75,,0.0,0.05,1,EQ,,EQ,NSE,,
60,8428,RAJRILTD-BE,RAJ RAYON INDUSTRIES LTD,24.7,,0.0,0.01,1,BE,,BE,NSE,,
