,instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
0,220537093,861473,BANKEX25OCTFUT,BANKEX,0.0,2025-10-30,0.0,0.05,30,FUT,BFO-FUT,BFO
1,223969541,874881,BANKEX25NOVFUT,BANKEX,0.0,2025-11-27,0.0,0.05,30,FUT,BFO-FUT,BFO
2,282664965,1104160,BANKEX25DECFUT,BANKEX,0.0,2025-12-24,0.0,0.05,30,FUT,BFO-FUT,BFO
3,220514309,861384,SENSEX25OCTFUT,SENSEX,0.0,2025-10-30,0.0,0.05,20,FUT,BFO-FUT,BFO
4,223700485,873830,SENSEX25NOVFUT,SENSEX,0.0,2025-11-27,0.0,0.05,20,FUT,BFO-FUT,BFO
5,282186245,1102290,SENSEX25DECFUT,SENSEX,0.0,2025-12-24,0.0,0.05,20,FUT,BFO-FUT,BFO
6,220618501,861791,SENSEX5025OCTFUT,SENSEX50,0.0,2025-10-30,0.0,0.05,75,FUT,BFO-FUT,BFO
7,223879685,874530,SENSEX5025NOVFUT,SENSEX50,0.0,2025-11-27,0.0,0.05,75,FUT,BFO-FUT,BFO
8,284815877,1112562,SENSEX5025DECFUT,SENSEX50,0.0,2025-12-24,0.0,0.05,75,FUT,BFO-FUT,BFO
9,220501253,861333,BANKEX25OCT65400CE,BANKEX,0.0,2025-10-30,65400.0,0.05,30,CE,BFO-OPT,BFO
10,220539653,861483,BANKEX25OCT65400PE,BANKEX,0.0,2025-10-30,65400.0,0.05,30,PE,BFO-OPT,BFO
11,220545029,861504,BANKEX25OCT65300CE,BANKEX,0.0,2025-10-30,65300.0,0.05,30,CE,BFO-OPT,BFO
12,220581381,861646,BANKEX25OCT65300PE,BANKEX,0.0,2025-10-30,65300.0,0.05,30,PE,BFO-OPT,BFO
13,220557829,861554,BANKEX25OCT65500CE,BANKEX,0.0,2025-10-30,65500.0,0.05,30,CE,BFO-OPT,BFO
14,220593925,861695,BANKEX25OCT65500PE,BANKEX,0.0,2025-10-30,65500.0,0.05,30,PE,BFO-OPT,BFO
15,220488965,861285,BANKEX25OCT65200CE,BANKEX,0.0,2025-10-30,65200.0,0.05,30,CE,BFO-OPT,BFO
16,220528389,861439,BANKEX25OCT65200PE,BANKEX,0.0,2025-10-30,65200.0,0.05,30,PE,BFO-OPT,BFO
17,220513029,861379,BANKEX25OCT65600CE,BANKEX,0.0,2025-10-30,65600.0,0.05,30,CE,BFO-OPT,BFO
18,220550917,861527,BANKEX25OCT65600PE,BANKEX,0.0,2025-10-30,65600.0,0.05,30,PE,BFO-OPT,BFO
19,220534789,861464,BANKEX25OCT65100CE,BANKEX,0.0,2025-10-30,65100.0,0.05,30,CE,BFO-OPT,BFO
20,220570629,861604,BANKEX25OCT65100PE,BANKEX,0.0,2025-10-30,65100.0,0.05,30,PE,BFO-OPT,BFO
21,220506885,861355,BANKEX25OCT65700PE,BANKEX,0.0,2025-10-30,65700.0,0.05,30,PE,BFO-OPT,BFO
22,220568325,861595,BANKEX25OCT65700CE,BANKEX,0.0,2025-10-30,65700.0,0.05,30,CE,BFO-OPT,BFO
23,220517125,861395,BANKEX25OCT65000PE,BANKEX,0.0,2025-10-30,65000.0,0.05,30,PE,BFO-OPT,BFO
24,220577029,861629,BANKEX25OCT65000CE,BANKEX,0.0,2025-10-30,65000.0,0.05,30,CE,BFO-OPT,BFO
25,220525829,861429,BANKEX25OCT65800CE,BANKEX,0.0,2025-10-30,65800.0,0.05,30,CE,BFO-OPT,BFO
26,220562693,861573,BANKEX25OCT65800PE,BANKEX,0.0,2025-10-30,65800.0,0.05,30,PE,BFO-OPT,BFO
27,220471557,861217,BANKEX25OCT64900CE,BANKEX,0.0,2025-10-30,64900.0,0.05,30,CE,BFO-OPT,BFO
28,220591109,861684,BANKEX25OCT64900PE,BANKEX,0.0,2025-10-30,64900.0,0.05,30,PE,BFO-OPT,BFO
29,220478469,861244,BANKEX25OCT65900CE,BANKEX,0.0,2025-10-30,65900.0,0.05,30,CE,BFO-OPT,BFO
30,220519941,861406,BANKEX25OCT65900PE,BANKEX,0.0,2025-10-30,65900.0,0.05,30,PE,BFO-OPT,BFO
31,220455941,861156,BANKEX25OCT64800PE,BANKEX,0.0,2025-10-30,64800.0,0.05,30,PE,BFO-OPT,BFO
32,220596997,861707,BANKEX25OCT64800CE,BANKEX,0.0,2025-10-30,64800.0,0.05,30,CE,BFO-OPT,BFO
33,220583429,861654,BANKEX25OCT66000CE,BANKEX,0.0,2025-10-30,66000.0,0.05,30,CE,BFO-OPT,BFO
34,220620037,861797,BANKEX25OCT66000PE,BANKEX,0.0,2025-10-30,66000.0,0.05,30,PE,BFO-OPT,BFO
35,220461061,861176,BANKEX25OCT64700CE,BANKEX,0.0,2025-10-30,64700.0,0.05,30,CE,BFO-OPT,BFO
36,220499461,861326,BANKEX25OCT64700PE,BANKEX,0.0,2025-10-30,64700.0,0.05,30,PE,BFO-OPT,BFO
37,220459781,861171,BANKEX25OCT66100CE,BANKEX,0.0,2025-10-30,66100.0,0.05,30,CE,BFO-OPT,BFO
38,220497413,861318,BANKEX25OCT66100PE,BANKEX,0.0,2025-10-30,66100.0,0.05,30,PE,BFO-OPT,BFO
39,220631301,861841,BANKEX25OCT66200PE,BANKEX,0.0,2025-10-30,66200.0,0.05,30,PE,BFO-OPT,BFO
40,290213637,1133647,BANKEX25OCT72900PE,BANKEX,0.0,2025-10-30,72900.0,0.05,30,PE,BFO-OPT,BFO
41,290311941,1134031,BANKEX25OCT72900CE,BANKEX,0.0,2025-10-30,72900.0,0.05,30,CE,BFO-OPT,BFO
42,290217477,1133662,BANKEX25OCT72800CE,BANKEX,0.0,2025-10-30,72800.0,0.05,30,CE,BFO-OPT,BFO
43,290300677,1133987,BANKEX25OCT72800PE,BANKEX,0.0,2025-10-30,72800.0,0.05,30,PE,BFO-OPT,BFO
44,290205701,1133616,BANKEX25OCT72700PE,BANKEX,0.0,2025-10-30,72700.0,0.05,30,PE,BFO-OPT,BFO
45,290304773,1134003,BANKEX25OCT72700CE,BANKEX,0.0,2025-10-30,72700.0,0.05,30,CE,BFO-OPT,BFO
46,290116357,1133267,BANKEX25OCT72600CE,BANKEX,0.0,2025-10-30,72600.0,0.05,30,CE,BFO-OPT,BFO
47,290140165,1133360,BANKEX25OCT72600PE,BANKEX,0.0,2025-10-30,72600.0,0.05,30,PE,BFO-OPT,BFO
48,290105349,1133224,BANKEX25OCT72500PE,BANKEX,0.0,2025-10-30,72500.0,0.05,30,PE,BFO-OPT,BFO
49,290174469,1133494,BANKEX25OCT72500CE,BANKEX,0.0,2025-10-30,72500.0,0.05,30,CE,BFO-OPT,BFO
50,290108165,1133235,BANKEX25OCT72400CE,BANKEX,0.0,2025-10-30,72400.0,0.05,30,CE,BFO-OPT,BFO
51,290132741,1133331,BANKEX25OCT72400PE,BANKEX,0.0,2025-10-30,72400.0,0.05,30,PE,BFO-OPT,BFO
52,290135813,1133343,BANKEX25OCT72300CE,BANKEX,0.0,2025-10-30,72300.0,0.05,30,CE,BFO-OPT,BFO
53,290187269,1133544,BANKEX25OCT72300PE,BANKEX,0.0,2025-10-30,72300.0,0.05,30,PE,BFO-OPT,BFO
54,289938949,1132574,BANKEX25OCT72200PE,BANKEX,0.0,2025-10-30,72200.0,0.05,30,PE,BFO-OPT,BFO
55,290097413,1133193,BANKEX25OCT72200CE,BANKEX,0.0,2025-10-30,72200.0,0.05,30,CE,BFO-OPT,BFO
56,289944325,1132595,BANKEX25OCT72100CE,BANKEX,0.0,2025-10-30,72100.0,0.05,30,CE,BFO-OPT,BFO
57,289986309,1132759,BANKEX25OCT72100PE,BANKEX,0.0,2025-10-30,72100.0,0.05,30,PE,BFO-OPT,BFO
58,289928197,1132532,BANKEX25OCT72000PE,BANKEX,0.0,2025-10-30,72000.0,0.05,30,PE,BFO-OPT,BFO
59,290086405,1133150,BANKEX25OCT72000CE,BANKEX,0.0,2025-10-30,72000.0,0.05,30,CE,BFO-OPT,BFO
60,289965573,1132678,BANKEX25OCT71900CE,BANKEX,0.0,2025-10-30,71900.0,0.05,30,CE,BFO-OPT,BFO
61,290010373,1132853,BANKEX25OCT71900PE,BANKEX,0.0,2025-10-30,71900.0,0.05,30,PE,BFO-OPT,BFO
62,290016773,1132878,BANKEX25OCT71800CE,BANKEX,0.0,2025-10-30,71800.0,0.05,30,CE,BFO-OPT,BFO
63,290060293,1133048,BANKEX25OCT71800PE,BANKEX,0.0,2025-10-30,71800.0,0.05,30,PE,BFO-OPT,BFO
64,289953797,1132632,BANKEX25OCT71700CE,BANKEX,0.0,2025-10-30,71700.0,0.05,30,CE,BFO-OPT,BFO
65,289994501,1132791,BANKEX25OCT71700PE,BANKEX,0.0,2025-10-30,71700.0,0.05,30,PE,BFO-OPT,BFO
66,290003205,1132825,BANKEX25OCT71600CE,BANKEX,0.0,2025-10-30,71600.0,0.05,30,CE,BFO-OPT,BFO
67,290047749,1132999,BANKEX25OCT71600PE,BANKEX,0.0,2025-10-30,71600.0,0.05,30,PE,BFO-OPT,BFO
68,289981189,1132739,BANKEX25OCT71500PE,BANKEX,0.0,2025-10-30,71500.0,0.05,30,PE,BFO-OPT,BFO
69,290054661,1133026,BANKEX25OCT71500CE,BANKEX,0.0,2025-10-30,71500.0,0.05,30,CE,BFO-OPT,BFO
70,289454853,1130683,BANKEX25OCT71400CE,BANKEX,0.0,2025-10-30,71400.0,0.05,30,CE,BFO-OPT,BFO
71,289471237,1130747,BANKEX25OCT71400PE,BANKEX,0.0,2025-10-30,71400.0,0.05,30,PE,BFO-OPT,BFO
72,289473029,1130754,BANKEX25OCT71300CE,BANKEX,0.0,2025-10-30,71300.0,0.05,30,CE,BFO-OPT,BFO
73,289487877,1130812,BANKEX25OCT71300PE,BANKEX,0.0,2025-10-30,71300.0,0.05,30,PE,BFO-OPT,BFO
