,LoginID,ClientID,AppOrderID,OrderReferenceID,GeneratedBy,ExchangeOrderID,OrderCategoryType,ExchangeSegment,ExchangeInstrumentID,OrderSide,OrderType,ProductType,TimeInForce,OrderPrice,OrderQuantity,OrderStopPrice,OrderStatus,OrderAverageTradedPrice,LeavesQuantity,CumulativeQuantity,OrderDisclosedQuantity,OrderGeneratedDateTime,ExchangeTransactTime,TradingSymbol,LastUpdateDateTime,OrderExpiryDate,CancelRejectReason,OrderUniqueIdentifier,OrderLegStatus,BoLegDetails,IsSpread,BoEntryOrderId,ApiOrderSource,MessageCode,MessageVersion,TokenID,ApplicationType,SequenceNumber,Instrument,Expiry
0,ITC2317,ITC2317,1210064699,,TWS,1760499900006390610,NORMAL,BSEFO,875652,BUY,Limit,NRML,EOS,660.0,600,0,Filled,648.9816666666667,0,600,0,15-10-2025 09:16:39,15-10-2025 09:16:40,SENSEX 16OCT2025 CE 81800,15-10-2025 09:16:39,01-01-1970 00:00:00,,,SingleOrderLeg,0,False,,,9004,4,0,0,0,SENSEX,2025-10-16
1,ITC2317,ITC2317,1210064708,,TWS,1760499900006333737,NORMAL,BSEFO,873713,SELL,Limit,NRML,EOS,567.65,600,0,Filled,569.26,0,600,0,15-10-2025 09:16:45,15-10-2025 09:16:45,SENSEX 16OCT2025 CE 81900,15-10-2025 09:16:45,01-01-1970 00:00:00,,,SingleOrderLeg,0,False,,,9004,4,0,0,0,SENSEX,2025-10-16
2,ITC2317,ITC2317,1210064715,,TWS,1760499900006426786,NORMAL,BSEFO,875652,BUY,Limit,NRML,EOS,648.25,600,0,Filled,648.25,0,600,0,15-10-2025 09:16:52,15-10-2025 09:17:01,SENSEX 16OCT2025 CE 81800,15-10-2025 09:17:01,01-01-1970 00:00:00,,,SingleOrderLeg,0,False,,,9004,4,0,0,0,SENSEX,2025-10-16
3,ITC2317,ITC2317,1210064717,,TWS,1760499900006356853,NORMAL,BSEFO,873713,SELL,Limit,NRML,EOS,568.8,600,0,Filled,569.695,0,600,0,15-10-2025 09:16:54,15-10-2025 09:16:55,SENSEX 16OCT2025 CE 81900,15-10-2025 09:16:55,01-01-1970 00:00:00,,,SingleOrderLeg,0,False,,,9004,4,0,0,0,SENSEX,2025-10-16
6,ITC2317,ITC2317,1210068751,,TWS,1760499900006581707,NORMAL,BSEFO,875652,BUY,Limit,NRML,EOS,680.0,600,0,Filled,675.2766666666666,0,600,0,15-10-2025 09:17:32,15-10-2025 09:17:32,SENSEX 16OCT2025 CE 81800,15-10-2025 09:17:32,01-01-1970 00:00:00,,,SingleOrderLeg,0,False,,,9004,4,0,0,0,SENSEX,2025-10-16
7,ITC2317,ITC2317,1210068765,,TWS,1760499900006514539,NORMAL,BSEFO,873713,SELL,Limit,NRML,EOS,599.0,20,0,Filled,599.7,0,20,0,15-10-2025 09:17:37,15-10-2025 09:17:38,SENSEX 16OCT2025 CE 81900,15-10-2025 09:17:37,01-01-1970 00:00:00,,,SingleOrderLeg,0,False,,,9004,4,0,0,0,SENSEX,2025-10-16
8,ITC2317,ITC2317,1210068795,,TWS,1760499900006613000,NORMAL,BSEFO,873713,SELL,Limit,NRML,EOS,613.8,600,0,Filled,613.8,0,600,0,15-10-2025 09:17:58,15-10-2025 09:17:59,SENSEX 16OCT2025 CE 81900,15-10-2025 09:17:59,01-01-1970 00:00:00,,,SingleOrderLeg,0,False,,,9004,4,0,0,0,SENSEX,2025-10-16
9,ITC2317,ITC2317,1210068798,,TWS,1760499900006628253,NORMAL,BSEFO,873713,SELL,Limit,NRML,EOS,614.0,300,0,Filled,616.5233333333333,0,300,0,15-10-2025 09:18:01,15-10-2025 09:18:02,SENSEX 16OCT2025 CE 81900,15-10-2025 09:18:02,01-01-1970 00:00:00,,,SingleOrderLeg,0,False,,,9004,4,0,0,0,SENSEX,2025-10-16
10,ITC2317,ITC2317,1210068803,,TWS,1760499900006644435,NORMAL,BSEFO,873713,BUY,Limit,NRML,EOS,622.25,20,0,Filled,622.25,0,20,0,15-10-2025 09:18:06,15-10-2025 09:18:07,SENSEX 16OCT2025 CE 81900,15-10-2025 09:18:06,01-01-1970 00:00:00,,,SingleOrderLeg,0,False,,,9004,4,0,0,0,SENSEX,2025-10-16
11,ITC2317,ITC2317,1210068804,,TWS,1760499900006790671,NORMAL,BSEFO,875652,BUY,Limit,NRML,EOS,703.85,300,0,Filled,703.39,0,300,0,15-10-2025 09:18:10,15-10-2025 09:18:11,SENSEX 16OCT2025 CE 81800,15-10-2025 09:18:10,01-01-1970 00:00:00,,,SingleOrderLeg,0,False,,,9004,4,0,0,0,SENSEX,2025-10-16
12,ITC2317,ITC2317,1210071283,,TWS,1760500349891470745,NORMAL,BSEFO,875781,BUY,Limit,NRML,EOS,159.0,600,0,Filled,159,0,600,0,15-10-2025 09:24:15,15-10-2025 09:24:18,SENSEX 16OCT2025 CE 82600,15-10-2025 09:24:17,01-01-1970 00:00:00,,,SingleOrderLeg,0,False,,,9004,4,0,0,0,SENSEX,2025-10-16
13,ITC2317,ITC2317,1210071295,,TWS,1760500354278395071,NORMAL,BSEFO,873838,SELL,Limit,NRML,EOS,120.0,600,0,Filled,122.035,0,600,0,15-10-2025 09:24:21,15-10-2025 09:24:21,SENSEX 16OCT2025 CE 82700,15-10-2025 09:24:21,01-01-1970 00:00:00,,,SingleOrderLeg,0,False,,,9004,4,0,0,0,SENSEX,2025-10-16
14,ITC2317,ITC2317,1210071303,,TWS,1760500349891512757,NORMAL,BSEFO,875781,BUY,Limit,NRML,EOS,162.9,600,0,Filled,161.94666666666666,0,600,0,15-10-2025 09:24:28,15-10-2025 09:24:28,SENSEX 16OCT2025 CE 82600,15-10-2025 09:24:28,01-01-1970 00:00:00,,,SingleOrderLeg,0,False,,,9004,4,0,0,0,SENSEX,2025-10-16
15,ITC2317,ITC2317,1210071310,,TWS,1760500354278430215,NORMAL,BSEFO,873838,SELL,Limit,NRML,EOS,120.0,600,0,Filled,120.44166666666666,0,600,0,15-10-2025 09:24:31,15-10-2025 09:24:39,SENSEX 16OCT2025 CE 82700,15-10-2025 09:24:39,01-01-0001 00:00:00,,,SingleOrderLeg,0,False,,,9004,4,0,0,0,SENSEX,2025-10-16
16,ITC2317,ITC2317,1210071333,,TWS,1760500349891583718,NORMAL,BSEFO,875781,BUY,Limit,NRML,EOS,162.0,600,0,Filled,161.59333333333333,0,600,0,15-10-2025 09:24:47,15-10-2025 09:24:48,SENSEX 16OCT2025 CE 82600,15-10-2025 09:24:48,01-01-1970 00:00:00,,,SingleOrderLeg,0,False,,,9004,4,0,0,0,SENSEX,2025-10-16
