,LoginID,AccountID,TradingSymbol,ExchangeSegment,ExchangeInstrumentId,ProductType,Marketlot,Multiplier,BuyAveragePrice,SellAveragePrice,OpenBuyQuantity,OpenSellQuantity,Quantity,BuyAmount,SellAmount,NetAmount,UnrealizedMTM,RealizedMTM,MTM,BEP,SumOfTradedQuantityAndPriceBuy,SumOfTradedQuantityAndPriceSell,StatisticsLevel,IsInterOpPosition,ActualSellAmount,ActualSellAveragePrice,ActualBuyAmount,ActualBuyAveragePrice,SumOfTradedQuantityAndActualPriceBuy,SumOfTradedQuantityAndActualPriceSell,childPositions,MessageCode,MessageVersion,TokenID,ApplicationType,SequenceNumber
0,ITC2317,ITC2317,BANKNIFTY 28OCT2025 PE 50000,NSEFO,52909,NRML,35,1,8.85,8.05,1295,1295,0,11460.75,10424.750000000002,-1035.9999999999982,0.00,0.00,0.00,0.00,11460.75,10424.750000000002,ParentLevel,False,10424.750000000002,8.05,11525.5,8.9,11525.5,10424.750000000002,{},9002,1,0,0,0
1,ITC2317,ITC2317,BANKNIFTY 28OCT2025 CE 59000,NSEFO,53209,NRML,35,1,0,80.58720930232558,0,1505,-1505,0,121283.75,121283.75,0.00,0.00,0.00,0.00,0,121283.75,ParentLevel,False,121283.75,80.58720930232558,0.0,0.0,0.0,121283.75,{},9002,1,0,0,0
2,ITC2317,ITC2317,SENSEX 23OCT2025 PE 81000,BSEFO,878116,NRML,20,1,12.024444444444445,26.05,900,900,0,10822,23445,12623,0.00,0.00,0.00,0.00,10822,23445,ParentLevel,False,28458.0,31.62,10822.0,12.024444444444445,10822.0,28458.0,{},9002,1,0,0,0
3,ITC2317,ITC2317,SENSEX 23OCT2025 CE 87000,BSEFO,877888,NRML,20,1,3.9233333333333333,3.75,2700,800,1900,10593,3000,-7593,0.00,0.00,0.00,0.00,10593,3000,ParentLevel,False,3000.0,3.75,10593.0,3.9233333333333333,10593.0,3000.0,{},9002,1,0,0,0
4,ITC2317,ITC2317,SENSEX 23OCT2025 PE 83900,BSEFO,877954,NRML,20,1,125.56833333333333,364.75,600,600,0,75341,218850,143509,0.00,0.00,0.00,0.00,75341,218850,ParentLevel,False,213102.0,355.17,75341.0,125.56833333333333,75341.0,213102.0,{},9002,1,0,0,0
5,ITC2317,ITC2317,SENSEX 23OCT2025 PE 82500,BSEFO,878114,NRML,20,1,26.2,26.4,100,100,0,2620,2640,20,0.00,0.00,0.00,0.00,2620,2640,ParentLevel,False,2640.0,26.4,2620.0,26.2,2620.0,2640.0,{},9002,1,0,0,0
6,ITC2317,ITC2317,SENSEX 23OCT2025 CE 85100,BSEFO,878066,NRML,20,1,0,78.55111111111111,0,900,-900,0,70696,70696,0.00,0.00,0.00,0.00,0,70696,ParentLevel,False,70696.0,78.55111111111111,0.0,0.0,0.0,70696.0,{},9002,1,0,0,0
7,ITC2317,ITC2317,BANKNIFTY 28OCT2025 CE 59300,NSEFO,53332,NRML,35,1,0,50.15769230769231,0,910,-910,0,45643.5,45643.5,0.00,0.00,0.00,0.00,0,45643.5,ParentLevel,False,45643.5,50.15769230769231,0.0,0.0,0.0,45643.5,{},9002,1,0,0,0
8,ITC2317,ITC2317,BANKNIFTY 28OCT2025 CE 63000,NSEFO,54445,NRML,35,1,5.3931818181818185,4.05,770,770,0,4152.75,3118.5,-1034.25,0.00,0.00,0.00,0.00,4152.75,3118.5,ParentLevel,False,3118.5,4.05,4152.75,5.3931818181818185,4152.75,3118.5,{},9002,1,0,0,0
9,ITC2317,ITC2317,SENSEX 23OCT2025 CE 88500,BSEFO,879627,NRML,20,1,4.875,2.5,1800,1800,0,8775,4500,-4275,0.00,0.00,0.00,0.00,8775,4500,ParentLevel,False,4500.0,2.5,8775.0,4.875,8775.0,4500.0,{},9002,1,0,0,0
