,instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
641,15096322,58970,NIFTY25OCT25850CE,NIFTY,0.0,2025-10-28,25850.0,0.05,75,CE,NFO-OPT,NFO
642,15097090,58973,NIFTY25OCT25850PE,NIFTY,0.0,2025-10-28,25850.0,0.05,75,PE,NFO-OPT,NFO
643,15094530,58963,NIFTY25OCT25800CE,NIFTY,0.0,2025-10-28,25800.0,0.05,75,CE,NFO-OPT,NFO
644,15095042,58965,NIFTY25OCT25800PE,NIFTY,0.0,2025-10-28,25800.0,0.05,75,PE,NFO-OPT,NFO
645,15097346,58974,NIFTY25OCT25900CE,NIFTY,0.0,2025-10-28,25900.0,0.05,75,CE,NFO-OPT,NFO
646,15103234,58997,NIFTY25OCT25900PE,NIFTY,0.0,2025-10-28,25900.0,0.05,75,PE,NFO-OPT,NFO
647,15093762,58960,NIFTY25OCT25750CE,NIFTY,0.0,2025-10-28,25750.0,0.05,75,CE,NFO-OPT,NFO
648,15094274,58962,NIFTY25OCT25750PE,NIFTY,0.0,2025-10-28,25750.0,0.05,75,PE,NFO-OPT,NFO
649,15103490,58998,NIFTY25OCT25950CE,NIFTY,0.0,2025-10-28,25950.0,0.05,75,CE,NFO-OPT,NFO
650,15104770,59003,NIFTY25OCT25950PE,NIFTY,0.0,2025-10-28,25950.0,0.05,75,PE,NFO-OPT,NFO
651,15092738,58956,NIFTY25OCT25700CE,NIFTY,0.0,2025-10-28,25700.0,0.05,75,CE,NFO-OPT,NFO
652,15093506,58959,NIFTY25OCT25700PE,NIFTY,0.0,2025-10-28,25700.0,0.05,75,PE,NFO-OPT,NFO
653,15105026,59004,NIFTY25OCT26000CE,NIFTY,0.0,2025-10-28,26000.0,0.05,75,CE,NFO-OPT,NFO
654,15105282,59005,NIFTY25OCT26000PE,NIFTY,0.0,2025-10-28,26000.0,0.05,75,PE,NFO-OPT,NFO
655,15091970,58953,NIFTY25OCT25650CE,NIFTY,0.0,2025-10-28,25650.0,0.05,75,CE,NFO-OPT,NFO
656,15092226,58954,NIFTY25OCT25650PE,NIFTY,0.0,2025-10-28,25650.0,0.05,75,PE,NFO-OPT,NFO
657,15106562,59010,NIFTY25OCT26050CE,NIFTY,0.0,2025-10-28,26050.0,0.05,75,CE,NFO-OPT,NFO
658,15106818,59011,NIFTY25OCT26050PE,NIFTY,0.0,2025-10-28,26050.0,0.05,75,PE,NFO-OPT,NFO
659,15091458,58951,NIFTY25OCT25600CE,NIFTY,0.0,2025-10-28,25600.0,0.05,75,CE,NFO-OPT,NFO
660,15091714,58952,NIFTY25OCT25600PE,NIFTY,0.0,2025-10-28,25600.0,0.05,75,PE,NFO-OPT,NFO
661,15109634,59022,NIFTY25OCT26100CE,NIFTY,0.0,2025-10-28,26100.0,0.05,75,CE,NFO-OPT,NFO
662,15109890,59023,NIFTY25OCT26100PE,NIFTY,0.0,2025-10-28,26100.0,0.05,75,PE,NFO-OPT,NFO
663,15090178,58946,NIFTY25OCT25550CE,NIFTY,0.0,2025-10-28,25550.0,0.05,75,CE,NFO-OPT,NFO
664,15090946,58949,NIFTY25OCT25550PE,NIFTY,0.0,2025-10-28,25550.0,0.05,75,PE,NFO-OPT,NFO
665,15110658,59026,NIFTY25OCT26150CE,NIFTY,0.0,2025-10-28,26150.0,0.05,75,CE,NFO-OPT,NFO
